Country,1990/91,1991/92,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,Group
Angola,50,79,78,33,77,62,71,64,85,55,"April"
Bolivia,123,107,123,57,122,152,133,153,150,184,"April"
Brazil,27286,27293,34603,28167,28192,18060,29197,26148,36761,47578,"April"
Burundi,487,667,620,393,664,434,401,250,492,351,"April"
Ecuador,1504,2124,1185,2069,2376,1888,1993,1191,1206,1198,"April"
Indonesia,7441,8463,5577,7301,6280,5180,8235,7922,7385,6264,"April"
Madagascar,982,933,1122,442,641,785,849,624,992,427,"April"
Malawi,105,124,137,62,84,91,49,61,64,59,"April"
Papua New Guinea,963,747,900,1019,1139,1002,1089,1074,1352,1387,"April"
Paraguay,131,80,54,70,25,23,26,23,58,20,"April"
Peru,937,1200,1762,665,1179,1871,1806,1930,2102,2744,"April"
Rwanda,535,484,639,444,22,329,293,193,223,307,"April"
Zimbabwe,252,201,78,12,106,131,174,130,149,125,"April"
"Congo, Rep. of",3,3,3,3,8,12,14,3,3,3,"July"
Cuba,414,302,284,285,284,285,366,300,280,328,"July"
Dominican Republic,880,321,638,604,730,886,519,941,487,607,"July"
Haiti,393,463,500,451,450,514,428,432,439,399,"July"
Philippines,974,1018,920,875,877,850,890,935,677,622,"July"
Tanzania,932,790,786,734,679,897,764,624,739,842,"July"
Zambia,23,29,29,27,21,26,33,38,62,59,"July"
Benin,0,0,2,0,0,0,0,0,0,0,"October"
Cameroon,1682,1726,260,683,406,660,1432,889,1114,1370,"October"
Central African Republic,175,125,134,166,250,108,208,114,215,241,"October"
Colombia,14231,18222,13823,11320,12989,12878,10876,12233,11035,9393,"October"
"Congo Dem.Rep.of",1580,1230,1180,980,1298,1098,795,811,738,477,"October"
Costa Rica,2562,2760,2998,2259,2496,2684,2126,2500,2293,2409,"October"
Cote dIvoire,2940,4129,2246,2293,3006,2532,4859,4164,1992,6320,"October"
El Salvador,2465,2198,3001,2378,2293,2585,2534,2175,2055,2598,"October"
Equatorial Guinea,4,3,2,0,3,2,1,2,1,0,"October"
Ethiopia,2909,3061,1794,2865,2537,2860,3270,2916,2745,3505,"October"
Gabon,3,2,3,3,8,2,1,3,4,2,"October"
Ghana,38,76,37,45,57,57,32,27,54,89,"October"
Guatemala,3271,3497,4318,3536,3787,4002,4525,4219,4893,5120,"October"
Guinea,44,91,76,64,198,104,148,172,421,364,"October"
Guyana,,,,,,,,,1,1,"October"
Honduras,1568,2322,1918,1829,2181,1909,2004,2564,2195,2985,"October"
India,2829,3000,2823,3533,3002,3717,3417,3805,4417,4867,"October"
Jamaica,23,39,26,34,45,43,54,47,29,38,"October"
Kenya,1485,1514,1316,1328,1663,1664,1247,882,1173,1502,"October"
"Lao, People's Dem. Rep. of",,,,,,,,,171,239,"October"
Liberia,3,3,3,5,5,5,5,5,18,12,"October"
Mexico,4674,4727,3401,5023,4159,5300,5110,4802,4801,6219,"October"
Nicaragua,461,707,547,706,683,985,793,1084,1073,1554,"October"
Nigeria,29,44,49,45,52,53,46,45,53,45,"October"
Panama,215,193,197,142,248,209,211,217,192,166,"October"
Sierra Leone,43,54,39,37,73,44,41,50,27,59,"October"
Sri Lanka,96,82,53,54,42,36,37,58,46,32,"October"
Thailand,757,1469,1255,1275,1399,1317,1404,1293,916,1273,"October"
Togo,161,433,86,195,176,84,291,221,321,263,"October"
Trinidad & Tobago,15,18,14,16,18,18,18,19,17,17,"October"
Uganda,1955,2088,2185,3142,2393,3244,3419,3440,3386,2862,"October"
"Venezuela, Bol. Rep. of",1230,1015,1225,1307,926,1364,1200,986,1001,734,"October"
Vietnam,1390,1308,2340,3020,3532,3938,5705,6915,6970,11631,"October"
Yemen,,,,,,,,,69,61,"October"
